scope,package,version,license
"frontend","@babel/plugin-transform-block-scoping","7.28.0","MIT"
"frontend","@babel/plugin-transform-class-properties","7.27.1","MIT"
"frontend","@babel/plugin-transform-class-static-block","7.27.1","MIT"
"frontend","@babel/plugin-transform-classes","7.28.0","MIT"
"frontend","@babel/plugin-transform-computed-properties","7.27.1","MIT"
"frontend","@babel/plugin-transform-destructuring","7.28.0","MIT"
"frontend","@babel/plugin-transform-dotall-regex","7.27.1","MIT"
"frontend","@babel/plugin-transform-duplicate-keys","7.27.1","MIT"
"frontend","@babel/plugin-transform-duplicate-named-capturing-groups-regex","7.27.1","MIT"
"frontend","@babel/plugin-transform-dynamic-import","7.27.1","MIT"
"frontend","@babel/plugin-transform-explicit-resource-management","7.28.0","MIT"
"frontend","@babel/plugin-transform-exponentiation-operator","7.27.1","MIT"
"frontend","@babel/plugin-transform-export-namespace-from","7.27.1","MIT"
"frontend","@babel/plugin-transform-flow-strip-types","7.27.1","MIT"
"frontend","@babel/plugin-transform-for-of","7.27.1","MIT"
"frontend","@babel/plugin-transform-function-name","7.27.1","MIT"
"frontend","@babel/plugin-transform-json-strings","7.27.1","MIT"
"frontend","@babel/plugin-transform-literals","7.27.1","MIT"
"frontend","@babel/plugin-transform-logical-assignment-operators","7.27.1","MIT"
"frontend","@babel/plugin-transform-member-expression-literals","7.27.1","MIT"
"frontend","@babel/plugin-transform-modules-amd","7.27.1","MIT"
"frontend","@babel/plugin-transform-modules-commonjs","7.27.1","MIT"
"frontend","@babel/plugin-transform-modules-systemjs","7.27.1","MIT"
"frontend","@babel/plugin-transform-modules-umd","7.27.1","MIT"
"frontend","@babel/plugin-transform-named-capturing-groups-regex","7.27.1","MIT"
"frontend","@babel/plugin-transform-new-target","7.27.1","MIT"
"frontend","@babel/plugin-transform-nullish-coalescing-operator","7.27.1","MIT"
"frontend","@babel/plugin-transform-numeric-separator","7.27.1","MIT"
"frontend","@babel/plugin-transform-object-rest-spread","7.28.0","MIT"
"frontend","@babel/plugin-transform-object-super","7.27.1","MIT"
